name,district,type
Єзупільська територіальна громада,Івано-Франківський,селищна
Єланецька територіальна громада,Вознесенський,селищна
Ємільчинська територіальна громада,Звягельський,селищна
Єрківська територіальна громада,Звенигородський,селищна
Іване-Пустенська територіальна громада,Чортківський,сільська
Іваничівська територіальна громада,Володимирський,селищна
Іванківська територіальна громада,Вишгородський,селищна
Івано-Франківська територіальна громада,Івано-Франківський,міська
Івано-Франківська територіальна громада,Яворівський,селищна
Івановецька територіальна громада,Мукачівський,сільська
Іваньківська територіальна громада,Уманський,сільська
Іванівська територіальна громада,Хмільницький,сільська
Іванівська територіальна громада,Березівський,селищна
Іванівська територіальна громада,Тернопільський,сільська
Іванівська територіальна громада,Генічеський,селищна
Іванівська територіальна громада,Чернігівський,сільська
Ізмаїльська територіальна громада,Ізмаїльський,міська
Ізюмська територіальна громада,Ізюмський,міська
Ізяславська територіальна громада,Шепетівський,міська
Іларіонівська територіальна громада,Синельниківський,селищна
Іллінецька територіальна громада,Вінницький,міська
Іллінівська територіальна громада,Краматорський,сільська
Інгульська територіальна громада,Баштанський,сільська
Іркліївська територіальна громада,Золотоніський,сільська
Ірпінська територіальна громада,Бучанський,міська
Іршавська територіальна громада,Хустський,міська
Іршанська територіальна громада,Коростенський,селищна
Ічнянська територіальна громада,Прилуцький,міська
Авангардівська територіальна громада,Одеський,селищна
Авдіївська територіальна громада,Покровський,міська
Агрономічна територіальна громада,Вінницький,сільська
Аджамська територіальна громада,Кропивницький,сільська
Ананьївська територіальна громада,Подільський,міська
Андрушківська територіальна громада,Житомирський,сільська
Андрушівська територіальна громада,Бердичівський,міська
Андрівська територіальна громада,Бердянський,сільська
Андріяшівська територіальна громада,Роменський,сільська
Андрієво-Іванівська територіальна громада,Березівський,сільська
Андріївська територіальна громада,Краматорський,сільська
Андріївська територіальна громада,Бердянський,селищна
Антонівська територіальна громада,Вараський,сільська
Антонінська територіальна громада,Хмельницький,селищна
Апостолівська територіальна громада,Криворізький,міська
Арбузинська територіальна громада,Первомайський,селищна
Арцизька територіальна громада,Болградський,міська
Асканія-Нова територіальна громада,Каховський,селищна
Бабанська територіальна громада,Уманський,селищна
Бабинська територіальна громада,Рівненський,сільська
Бабчинецька територіальна громада,Могилів-Подільський,сільська
Байковецька територіальна громада,Тернопільський,сільська
Балаклеївська територіальна громада,Черкаський,сільська
Балаклійська територіальна громада,Ізюмський,міська
Балтська територіальна громада,Подільський,міська
Банилівська територіальна громада,Вижницький,сільська
Баранинська територіальна громада,Ужгородський,сільська
Баранівська територіальна громада,Звягельський,міська
Барашівська територіальна громада,Звягельський,сільська
Барвінківська територіальна громада,Ізюмський,міська
Баришівська територіальна громада,Броварський,селищна
Барська територіальна громада,Жмеринський,міська
Батуринська територіальна громада,Ніжинський,міська
Батівська територіальна громада,Берегівський,селищна
Бахмацька територіальна громада,Ніжинський,міська
Бахмутська територіальна громада,Бахмутський,міська
Баштанська територіальна громада,Баштанський,міська
Баштечківська територіальна громада,Уманський,сільська
Бедевлянська територіальна громада,Тячівський,сільська
Бездрицька територіальна громада,Сумський,сільська
Безлюдівська територіальна громада,Харківський,селищна
Белзька територіальна громада,Шептицький,міська
Бердичівська територіальна громада,Бердичівський,міська
Бердянська територіальна громада,Бердянський,міська
Берегометська територіальна громада,Вижницький,селищна
Берегівська територіальна громада,Берегівський,міська
Бережанська територіальна громада,Тернопільський,міська
Березанська територіальна громада,Броварський,міська
Березанська територіальна громада,Миколаївський,селищна
Берездівська територіальна громада,Шепетівський,сільська
Березнегуватська територіальна громада,Баштанський,селищна
Березняківська територіальна громада,Черкаський,сільська
Березнянська територіальна громада,Чернігівський,селищна
Березнівська територіальна громада,Рівненський,міська
Березівська територіальна громада,Житомирський,сільська
Березівська територіальна громада,Березівський,міська
Березівська територіальна громада,Сарненський,сільська
Березівська територіальна громада,Шосткинський,сільська
Берестечківська територіальна громада,Луцький,міська
Берестівська територіальна громада,Бердянський,сільська
Бериславська територіальна громада,Бериславський,міська
Бершадська територіальна громада,Гайсинський,міська
Бехтерська територіальна громада,Скадовський,сільська
Бишівська територіальна громада,Фастівський,сільська
Благовіщенська територіальна громада,Василівський,сільська
Благовіщенська територіальна громада,Голованівський,міська
Благодатненська територіальна громада,Первомайський,сільська
Близнюківська територіальна громада,Лозівський,селищна
Бобринецька територіальна громада,Кропивницький,міська
Бобрицька територіальна громада,Черкаський,сільська
Бобровицька територіальна громада,Ніжинський,міська
Богданська територіальна громада,Рахівський,сільська
Богданівська територіальна громада,Павлоградський,сільська
Богодухівська територіальна громада,Богодухівський,міська
Богородчанська територіальна громада,Івано-Франківський,селищна
Богуславська територіальна громада,Обухівський,міська
Божедарівська територіальна громада,Кам’янський,селищна
Бокіймівська територіальна громада,Дубенський,сільська
Болградська територіальна громада,Болградський,міська
Болехівська територіальна громада,Калуський,міська
Боратинська територіальна громада,Луцький,сільська
Боремельська територіальна громада,Дубенський,сільська
Борзнянська територіальна громада,Ніжинський,міська
Боринська територіальна громада,Самбірський,селищна
Бориславська територіальна громада,Дрогобицький,міська
Бориспільська територіальна громада,Бориспільський,міська
Бородянська територіальна громада,Бучанський,селищна
Бородінська територіальна громада,Болградський,селищна
Борозенська територіальна громада,Бериславський,сільська
Боромлянська територіальна громада,Охтирський,сільська
Борсуківська територіальна громада,Кременецький,сільська
Борщагівська територіальна громада,Бучанський,сільська
Борщівська територіальна громада,Чортківський,міська
Борівська територіальна громада,Ізюмський,селищна
Бочечківська територіальна громада,Конотопський,сільська
Боянська територіальна громада,Чернівецький,сільська
Боярська територіальна громада,Фастівський,міська
Брагинівська територіальна громада,Синельниківський,сільська
Братська територіальна громада,Вознесенський,селищна
Брацлавська територіальна громада,Тульчинський,селищна
Броварська територіальна громада,Броварський,міська
Бродівська територіальна громада,Золочівський,міська
Брониківська територіальна громада,Звягельський,сільська
Брошнів-Осадська територіальна громада,Калуський,селищна
Брусилівська територіальна громада,Житомирський,селищна
Брусницька територіальна громада,Вижницький,сільська
Бугринська територіальна громада,Рівненський,сільська
Будищенська територіальна громада,Черкаський,сільська
Бужанська територіальна громада,Звенигородський,сільська
Бузька територіальна громада,Вознесенський,сільська
Букачівська територіальна громада,Івано-Франківський,селищна
Буринська територіальна громада,Конотопський,міська
Бурштинська територіальна громада,Івано-Франківський,міська
Буська територіальна громада,Золочівський,міська
Буцька територіальна громада,Уманський,селищна
Бучанська територіальна громада,Бучанський,міська
Бучацька територіальна громада,Чортківський,міська
Буштинська територіальна громада,Тячівський,селищна
Бібрська територіальна громада,Львівський,міська
Білгород-Дністровська територіальна громада,Білгород-Дністровський,міська
Біленьківська територіальна громада,Запорізький,сільська
